"Unnamed: 0","restaurant name","restaurant type","rate (out of 5)","num of ratings","avg cost (two people)","online_order","table booking","cuisines type","","area","local address"
"211","Al Sadique Restaurant","Quick Bites","3.4","32","350","No","No","Mughlai, North Indian, Street Food","211","MG Road","Frazer Town"
"212","Al Swaad Take Away","Quick Bites","3.1","12","350","Yes","No","North Indian, South Indian, Arabian","212","Brigade Road","Richmond Road"
"213","Al Taj Fast Food","Quick Bites","3.2","4","600","Yes","No","Fast Food, North Indian, South Indian, Chinese","213","Rajajinagar","Vijay Nagar"
"214","Al Zaiqa Hotel","Quick Bites","3.4","14","200","Yes","No","Chinese, South Indian, Fast Food","214","Marathahalli","Marathahalli"
"215","Alampur Bar And Restaurant","Casual Dining","3.7","42","900","Yes","No","Chinese, South Indian, North Indian","215","Brigade Road","Race Course Road"
"216","Alankar Restaurant","Casual Dining","2.8","40","800","No","No","South Indian, North Indian, Chinese","216","Marathahalli","Marathahalli"
"217","Alankrutha","Casual Dining","3.8","260","500","Yes","No","Andhra, Biryani, North Indian, Chinese","217","Koramangala 5th Block","BTM"
"218","Alba - JW Marriott Bengaluru","Fine Dining","4.4","561","4000","No","Yes","Italian","218","Church Street","Lavelle Road"
"219","Al-Badia Restaurant","Casual Dining","4.2","89","700","No","No","Arabian","219","Kalyan Nagar","Kammanahalli"
"220","Al-Baik Kabab Corner","Quick Bites","3.2","25","350","Yes","No","Kebab, Biryani","220","Malleshwaram","Yeshwantpur"
"221","Al-Baik Tandoori Restaurant","Quick Bites","3.6","113","450","Yes","No","North Indian, Chinese, Arabian, Biryani, Rolls","221","Frazer Town","Nagawara"
"222","Al-Bek","Casual Dining","3.9","682","650","Yes","No","North Indian, Mughlai, Chinese, Seafood","222","Byresandra,Tavarekere,Madiwala","Jayanagar"
"223","Albert Bakery","Bakery","4.3","346","150","No","No","Bakery, Fast Food","223","Frazer Town","Frazer Town"
"224","Alchemy - The Chancery Pavilion","Microbrewery, Casual Dining","4.3","446","2000","No","Yes","Modern Indian","224","Brigade Road","Residency Road"
"225","Alchemy Coffee Roasters","Cafe","4.2","704","500","No","No","Cafe","225","Basavanagudi","Jayanagar"
"226","Alfa Family Restaurant","Casual Dining","3","27","400","No","No","North Indian, Arabian, Chinese","226","Basavanagudi","Wilson Garden"
"227","Alfresco by Bene -Sheraton Grand Bangalore Hotel at...","Bar, Casual Dining","3.7","77","2000","No","Yes","Continental","227","Malleshwaram","Malleshwaram"
"228","Al-Hyatt","Quick Bites","0","40","300","No","No","Biryani, Chinese","228","Koramangala 6th Block","Ejipura"
"229","Ali Snacks Point","Quick Bites","3.4","5","150","Yes","No","Chinese, Momos","229","Malleshwaram","Malleshwaram"
"230","Alibaba Cafe and Restaurant","Casual Dining","2.9","55","700","No","No","Arabian, Middle Eastern","230","Kammanahalli","Kalyan Nagar"
"231","Alibi - Maya International Hotel","Casual Dining","1.8","224","1200","No","No","North Indian, Continental, Chinese","231","Brigade Road","Church Street"
"232","AlienSip","Beverage Shop","3.6","11","200","Yes","No","Juices","232","Bannerghatta Road","BTM"
"233","Alif Restaurant","Casual Dining","3.6","26","600","Yes","No","North Indian, Chinese","233","Bannerghatta Road","JP Nagar"
"234","Aligarh House","Delivery","4.4","98","400","Yes","No","North Indian, Biryani, Awadhi, Mughlai","234","Byresandra,Tavarekere,Madiwala","Koramangala"
"235","Alikemom","Takeaway, Delivery","2.8","40","300","Yes","No","North Indian","235","Electronic City","Electronic City"
"236","All Aromas","Quick Bites","2.8","40","400","Yes","No","North Indian, Biryani","236","Basavanagudi","Jayanagar"
"237","All Saints Bakery","Bakery","3.6","23","200","No","No","Bakery","237","Brigade Road","Brigade Road"
"238","All Shook Up","Dessert Parlor, Beverage Shop","3.6","34","300","Yes","No","Desserts, Beverages","238","Brookefield","Marathahalli"
"239","All Shook Up!","Dessert Parlor, Beverage Shop","3.6","19","300","Yes","No","Desserts, Beverages","239","Malleshwaram","Rajajinagar"
"240","Allahabadi Tadaka","Casual Dining","2.9","46","250","No","No","North Indian","240","Indiranagar","Domlur"
"241","Allana Kabab","Quick Bites","3.3","4","200","No","No","North Indian","241","Church Street","Richmond Road"
"242","Alloro - The Oterra","Fine Dining","4","63","2500","No","Yes","Italian","242","Electronic City","Electronic City"
"243","Al-Madina","Takeaway, Delivery","3.3","8","500","No","No","North Indian, Chinese","243","Byresandra,Tavarekere,Madiwala","BTM"
"244","Al-Madina Restaurant","Casual Dining","3.4","22","400","No","No","Arabian, North Indian, Chinese, Kerala","244","Basavanagudi","City Market"
"245","Al-Marhaba Restaurant","Quick Bites","2.8","40","400","Yes","No","Arabian, Chinese, North Indian, Rolls, Momos","245","Bannerghatta Road","BTM"
"246","Al-Noor Restaurant","Quick Bites","2.8","40","400","Yes","No","Chinese, North Indian, Mughlai","246","Kalyan Nagar","Nagawara"
"247","Alpha - House of Biryani & Tandoor","Casual Dining","3.3","387","800","Yes","No","Biryani, North Indian, Chinese","247","Brookefield","Whitefield"
"248","Al-Sidique","Quick Bites","4","314","400","Yes","No","North Indian, Chinese","248","Rajajinagar","Vijay Nagar"
"249","alt","Bar, Lounge","4.1","821","1900","No","Yes","Finger Food","249","Whitefield","Whitefield"
"250","Altaf's Chillies Restaurant","Casual Dining","3.8","229","500","Yes","No","North Indian, Chinese","250","Frazer Town","Frazer Town"
"251","Altaj Restaurant","Casual Dining","3.3","6","700","No","No","North Indian, Chinese","251","Malleshwaram","Rajajinagar"
"252","Al-Taj Restaurant","Casual Dining","3.3","10","600","Yes","No","South Indian, North Indian, Chinese","252","Rajajinagar","Rajajinagar"
"253","Alter Ego D'Deli","Cafe","3.8","140","650","Yes","No","Cafe, Continental, Italian, Burger, Pizza, Salad, Steak","253","Kalyan Nagar","Kalyan Nagar"
"254","Alto Vino - Bengaluru Marriott Hotel Whitefield","Fine Dining","4.3","263","3000","No","Yes","Italian, Salad","254","Brookefield","Whitefield"
"255","AM WOW","Beverage Shop","3.4","6","100","Yes","No","Beverages","255","Banashankari","Jayanagar"
"256","Amadora Gourmet Ice Cream & Sorbet","Dessert Parlor","2.8","40","500","No","No","Desserts","256","Brookefield","Whitefield"
"257","Amande Patisserie","Bakery","4","73","300","Yes","No","Bakery, French, Desserts","257","Banashankari","Basavanagudi"
"258","Amanthrana Gardenia","Casual Dining","3.8","107","800","Yes","No","North Indian, Andhra, BBQ, Seafood, Chinese","258","Brookefield","Brookefield"
"259","Amantrana","Casual Dining","3.2","15","800","No","No","North Indian, South Indian","259","Rajajinagar","Magadi Road"
"260","Amar Kolkata","Quick Bites","3.2","4","300","No","No","Bengali, North Indian, Chinese","260","Indiranagar","Old Airport Road"
"261","Amara Food Point","Takeaway, Delivery","3.3","4","250","No","No","South Indian","261","Byresandra,Tavarekere,Madiwala","BTM"
"262","Amaravathi Bar & Restaurant","Casual Dining, Bar","3.7","43","400","No","No","North Indian, Chinese, Seafood","262","Byresandra,Tavarekere,Madiwala","Jayanagar"
"263","Amaravathi Mess","Quick Bites","3.6","108","400","Yes","No","Andhra, Biryani","263","Electronic City","Electronic City"
"264","Amaravati","Quick Bites","3.6","39","400","No","No","North Indian, Chinese","264","Byresandra,Tavarekere,Madiwala","BTM"
"265","Amaravati - Pure Veg Restaurant","Quick Bites","3.5","93","350","Yes","No","South Indian, North Indian, Chinese","265","Marathahalli","Kaggadasapura"
"266","Amaravati Authentic Andhra Restaurant","Casual Dining","3","148","600","Yes","No","Andhra, Chinese, North Indian, Biryani","266","Brookefield","Brookefield"
"267","Amaravati Food Court","Quick Bites","3.3","7","300","Yes","No","Kerala","267","Whitefield","Whitefield"
"268","Amaravati Grand","Casual Dining","3.3","7","550","No","No","Chinese, Andhra, Mangalorean","268","Jayanagar","BTM"
"269","Amazing Blue Pub","Pub","3.4","10","900","No","No","Finger Food","269","Malleshwaram","Seshadripuram"
"270","Ambara Gardenia","Casual Dining","3.8","256","800","Yes","Yes","Andhra, North Indian, Chinese, Seafood","270","Byresandra,Tavarekere,Madiwala","Bannerghatta Road"
"271","Ambarsaria","Casual Dining","2.7","57","800","No","No","North Indian","271","New BEL Road","New BEL Road"
"272","Amber Rush by The Pool","Bar, Casual Dining","3.9","140","1500","No","No","North Indian, Chinese, Continental","272","Brookefield","Marathahalli"
"273","Amber Rush Restobar","Pub","4.1","93","1000","No","Yes","Continental, Chinese, Fast Food","273","Brigade Road","Residency Road"
"274","Ambika Biryani Corner","Quick Bites","3.5","37","300","No","No","Biryani","274","Rajajinagar","Rajajinagar"
"275","Ambika Vegetarian Hotel","Casual Dining","3.7","31","500","No","No","North Indian, Fast Food","275","Malleshwaram","Rajajinagar"
"276","Ambujam's Chettinad Mess","Quick Bites, Mess","3.2","27","400","Yes","No","South Indian, Chettinad","276","Kammanahalli","Banaswadi"
"277","Ambur Azad Darbar","Quick Bites","3.1","6","250","No","No","North Indian, Fast Food, Biryani","277","Jayanagar","BTM"
"278","Ambur Biriyani","Quick Bites","3.2","4","200","No","No","Biryani","278","Indiranagar","Old Airport Road"
"279","Ambur Biriyani Centre","Quick Bites","3.2","6","150","No","No","Biryani","279","Sarjapur Road","Bellandur"
"280","Ambur Biriyani Classic","Casual Dining","3.3","136","700","Yes","No","Biryani, South Indian, North Indian","280","Electronic City","Electronic City"
"281","Ambur Biriyani Point","Quick Bites","3.6","26","150","No","No","Biryani","281","Byresandra,Tavarekere,Madiwala","BTM"
"282","Ambur Biriyani Zone","Quick Bites","3.2","4","200","No","No","Biryani, Kebab","282","Kammanahalli","Kammanahalli"
"283","Ambur Biryani","Quick Bites","3.2","5","450","No","No","South Indian, Fast Food","283","HSR","HSR"
"284","Ambur Biryani Hotel","Quick Bites","3.2","13","200","No","No","Biryani","284","Byresandra,Tavarekere,Madiwala","Koramangala 1st Block"
"285","Ambur Biryani Mess","Mess","3.4","18","250","No","No","Biryani","285","Koramangala 4th Block","Koramangala 6th Block"
"286","Ambur Biryani Point","Quick Bites","3.3","8","150","No","No","Biryani","286","Bellandur","Sarjapur Road"
"287","Ambur Chicken Biryani","Quick Bites","3.1","9","250","No","No","Biryani","287","HSR","HSR"
"288","Ambur Darbar Biriyani Point","Quick Bites","3.2","24","200","Yes","No","Biryani","288","Malleshwaram","Yeshwantpur"
"289","Ambur Dum Biriyani","Quick Bites","2.8","40","160","No","No","Biryani","289","Banashankari","Basavanagudi"
"290","Ambur Dum Biryani","Quick Bites","2.8","40","300","No","No","Biryani, Fast Food","290","Electronic City","Electronic City"
"291","Ambur Hot Dum Biriyani","Quick Bites","3.1","6","200","No","No","Biryani","291","Old Airport Road","Jeevan Bhima Nagar"
"292","Ambur Hot Dum Biryani","Quick Bites","3","9","200","No","No","Biryani","292","Marathahalli","Thippasandra"
"293","Ambur Star Biryani","Quick Bites","3.5","22","200","No","No","Biryani","293","Bellandur","Sarjapur Road"
"294","Ambur Star Briyani","Casual Dining","3.6","17","500","Yes","No","North Indian, Chinese, Biryani","294","Indiranagar","Indiranagar"
"295","Ambur Star Dum Biriyani","Quick Bites","3.2","4","200","No","No","Biryani","295","Residency Road","Wilson Garden"
"296","Ambur Star Dum Biryani","Quick Bites","2.8","40","250","No","No","Biryani","296","Bellandur","Sarjapur Road"
"297","Ambur Tasty Biriyani","Quick Bites","3.2","4","200","No","No","Biryani","297","HSR","HSR"
"298","Amchoor","Quick Bites","3.8","38","250","Yes","No","North Indian, Beverages","298","Marathahalli","Marathahalli"
"299","Amdo's Corner Tibetan Foods","Quick Bites","4","47","250","No","No","Tibetan, Momos","299","Brigade Road","Richmond Road"
"300","American Bites","Quick Bites","2.4","48","450","Yes","No","Fast Food, Burger, Pizza","300","Frazer Town","Kalyan Nagar"
"301","American Desserts","Takeaway, Delivery","3.6","23","500","Yes","No","Desserts, Bakery","301","Kalyan Nagar","Banaswadi"
"302","Amexicano","Food Truck","3.8","31","400","No","No","American, Mexican","302","Indiranagar","East Bangalore"
"303","Amigos Kitchen","Quick Bites","3.7","64","400","Yes","No","Chinese, North Indian, Mexican, Fast Food","303","Kalyan Nagar","Banaswadi"
"304","Amjad Bhai's Star Hotel - Home Food Only","Quick Bites","2.8","40","300","No","No","North Indian, South Indian","304","Byresandra,Tavarekere,Madiwala","BTM"
"305","Ammachide Addukala","Quick Bites","3.5","6","300","No","No","Kerala","305","Bannerghatta Road","Bannerghatta Road"
"306","Amma's Biryani & Rice","Quick Bites","2.8","40","300","Yes","No","Biryani, Fast Food","306","Kalyan Nagar","Kammanahalli"
"307","Amma's Cafe","Quick Bites","3.2","6","300","No","No","Fast Food","307","HSR","HSR"
"308","Amma's Pastries","Bakery","3.9","130","400","No","No","Bakery","308","Kalyan Nagar","HBR Layout"
"309","Amma's Special","Quick Bites","0","40","400","No","No","South Indian","309","Koramangala 6th Block","Koramangala 1st Block"
"310","Ammayi Thakkaram","Quick Bites","0","40","400","No","No","Kerala, South Indian","310","Koramangala 6th Block","BTM"
"311","Ammi's Biryani","Casual Dining","2.7","171","500","Yes","No","Biryani, North Indian","311","Kalyan Nagar","Kalyan Nagar"
"312","Ammus Hot N Cool","Quick Bites","3.4","84","300","Yes","No","North Indian, Chinese","312","Byresandra,Tavarekere,Madiwala","BTM"
"313","Amnesia - The Poolside Bar","Casual Dining, Bar","3.7","15","2000","No","No","North Indian, Chinese, Continental","313","Brigade Road","Residency Road"
"314","Amoeba Sports Bar","Lounge, Bar","3.9","568","1000","Yes","Yes","Continental, Chinese","314","Brookefield","Whitefield"
"315","Amontron","Casual Dining","3.9","435","650","Yes","No","Bengali","315","Bannerghatta Road","BTM"
"316","Amour Fine Patisserie","Cafe, Dessert Parlor","4","82","500","Yes","Yes","Cafe, Desserts, Continental","316","HSR","HSR"
"317","Amravathi Restaurants & Caterers","Quick Bites","3.1","6","400","No","No","North Indian, Chinese","317","Byresandra,Tavarekere,Madiwala","BTM"
"318","Amrit","Food Court","3.4","24","600","No","No","North Indian, Seafood","318","Byresandra,Tavarekere,Madiwala","JP Nagar"
"319","Amrita Nadia Sweets","Sweet Shop","3.2","4","400","Yes","No","Mithai","319","New BEL Road","Jalahalli"
"320","Amrith Ice Cream","Dessert Parlor","4.1","81","100","No","No","Ice Cream","320","Malleshwaram","Malleshwaram"
"321","Amritsari Kulcha Bite","Quick Bites","3.9","99","150","Yes","No","North Indian","321","Indiranagar","Ulsoor"
"322","Amritsari Kulcha Land","Quick Bites","4","260","300","Yes","No","North Indian","322","Byresandra,Tavarekere,Madiwala","JP Nagar"
"323","Amrut","Quick Bites","3.5","250","300","Yes","No","North Indian, Chinese, Fast Food","323","Malleshwaram","Malleshwaram"
"324","Amruta","Casual Dining","3.8","20","600","No","No","South Indian, North Indian, Chinese","324","Lavelle Road","Majestic"
"325","Amruth Parkland","Bar, Casual Dining","3.5","54","900","No","No","North Indian, Chinese","325","Sarjapur Road","Sarjapur Road"
"326","Amrutha Foods","Quick Bites","2.8","40","300","No","No","South Indian","326","Marathahalli","Old Airport Road"
"327","Amrutha Grand Restaurant","Casual Dining","3.2","204","500","Yes","No","North Indian, Biryani, Chinese","327","Bellandur","Sarjapur Road"
"328","Amrutha Mess","Quick Bites","3.4","5","300","No","No","Kerala","328","Byresandra,Tavarekere,Madiwala","BTM"
"329","Amrutha Sweets","Quick Bites","3.5","13","200","No","No","Street Food, Mithai","329","Koramangala 4th Block","Ejipura"
"330","AM's Cafe Recreate","Takeaway, Delivery","3.3","8","250","Yes","No","Chinese, North Indian","330","Byresandra,Tavarekere,Madiwala","BTM"
"331","Amul Ice Cream","Dessert Parlor","2.8","40","100","Yes","No","Desserts, Ice Cream","331","HSR","HSR"
"332","An Egg Story","Cafe","4","241","600","No","No","Cafe, Continental, American, Italian","332","Kalyan Nagar","Kalyan Nagar"
"333","Anamika Roll Centre","Quick Bites","3.2","4","300","No","No","North Indian, Fast Food, Rolls","333","Jayanagar","Wilson Garden"
"334","Anand Donne Biriyani","Quick Bites","3.6","45","200","Yes","No","Biryani","334","Banashankari","Jayanagar"
"335","Anand Sagar Inn","Casual Dining","3.2","6","450","No","No","South Indian, North Indian, Chinese","335","Jayanagar","Basavanagudi"
"336","Anand Sweets and Savouries","Quick Bites","4","99","400","Yes","No","Mithai, Street Food","336","Kalyan Nagar","Kammanahalli"
"337","Anand Vihar","Quick Bites","2.5","58","0","No","No","North Indian, Chinese","337","Frazer Town","RT Nagar"
"338","Anda Ka Funda","Quick Bites","3.1","14","300","Yes","No","North Indian, Chinese","338","JP Nagar","Jayanagar"
"339","Anda Special-Pav Bhaji","Quick Bites","3.4","8","200","Yes","No","Fast Food","339","New BEL Road","Yeshwantpur"
"340","Andal Mess","Mess","3.1","22","300","Yes","No","Biryani, South Indian, North Indian","340","Koramangala 4th Block","Domlur"
